month,bloc,care,fairness,loyalty,authority,sanctity,n,month_ts
2024-01,Gauche radicale,0.1317176598274936,0.08386317227885766,0.09383013723519314,0.07274350012249657,0.07761076847884071,226,2024-01-01
2024-02,Centre / Majorite,0.12217752113460455,0.06402366951797576,0.07620813652703358,0.06346621806711032,0.06246788622414469,65,2024-02-01
2024-02,Droite,0.13269659388545932,0.06713392743432466,0.08547921324268147,0.06297852476337457,0.06400630237428896,32,2024-02-01
2024-02,Gauche moderee,0.1405790320472487,0.06443067668843465,0.08185871372754912,0.07307808910868112,0.07085232486071055,55,2024-02-01
2024-02,Gauche radicale,0.13620066902990544,0.08331242148499718,0.09432686357848485,0.07284331133214744,0.07914863573185325,225,2024-02-01
2024-03,Centre / Majorite,0.12313645333011362,0.07466776658291502,0.07818777480381835,0.07656551336570404,0.07336202826715797,47,2024-03-01
2024-03,Droite,0.13708296464567674,0.09239976235959577,0.0934525325753568,0.08647900437409363,0.0925042062605132,73,2024-03-01
2024-03,Gauche moderee,0.13099114460329048,0.07176963470165733,0.08821523292966728,0.07328522004769693,0.07783002687404011,44,2024-03-01
2024-03,Gauche radicale,0.13489550786251941,0.08163772214254457,0.09302372687870696,0.07610841159310935,0.07919329182486025,243,2024-03-01
2024-04,Centre / Majorite,0.1321304857131448,0.07773894311821379,0.09961721832238737,0.07125443510012089,0.07664111973299624,51,2024-04-01
2024-04,Droite,0.1289067911614538,0.0729599961236529,0.09219843973601638,0.07031322169034318,0.07832868726722714,51,2024-04-01
2024-04,Gauche moderee,0.1323042867630998,0.08275525331863277,0.10159264178824151,0.07828485402909187,0.07629155604537528,43,2024-04-01
2024-04,Gauche radicale,0.13563058930825936,0.07682957807958476,0.089710240245889,0.0788596960841126,0.07812742054081648,349,2024-04-01
2024-05,Centre / Majorite,0.12965247816693345,0.07578182556259801,0.08698882292398397,0.07562134562537762,0.07967002304408771,104,2024-05-01
2024-05,Droite,0.13962963707014142,0.08154429567259112,0.08904601076949871,0.07193946840936,0.07750968827374281,63,2024-05-01
2024-05,Gauche moderee,0.13687801293302634,0.08342316666530211,0.10094483500201892,0.07695311129637819,0.08210908648885358,92,2024-05-01
2024-05,Gauche radicale,0.1365055635500246,0.08205220555239816,0.10084481970098165,0.07965646967290031,0.07944858404339439,608,2024-05-01
2024-06,Centre / Majorite,0.11747771813353944,0.0746267431609682,0.08074860942671522,0.06838328454870515,0.07025036968182805,52,2024-06-01
2024-06,Droite,0.13337069076563954,0.08118585098184512,0.09848419089143823,0.07231778360157254,0.07878259227020036,25,2024-06-01
2024-06,Gauche moderee,0.13884052014529435,0.07696475026669636,0.10585913554387082,0.09453281136348742,0.09733190784715114,24,2024-06-01
2024-06,Gauche radicale,0.12765101808706075,0.07317716443553522,0.09068051046676158,0.07606317716172559,0.07755027509789694,126,2024-06-01
2024-07,Centre / Majorite,0.13530859463102748,0.07363170985872963,0.07422409819351798,0.0744348996641922,0.06971534619525134,27,2024-07-01
2024-07,Droite,0.12692266261078033,0.07712314936837884,0.07265722437640496,0.0686031225304107,0.06356561441949328,40,2024-07-01
2024-07,Gauche moderee,0.13177791223849936,0.08693395154865077,0.0894962149913291,0.09045790662319732,0.0879048387210966,14,2024-07-01
2024-07,Gauche radicale,0.13135121077405595,0.08223669939168592,0.10300871298149432,0.0849183632509943,0.08468241836000533,163,2024-07-01
2024-08,Centre / Majorite,0.12963118996224254,0.0836876452333618,0.08513866453509442,0.0721787900587016,0.07160402594180425,35,2024-08-01
2024-08,Droite,0.12334282332640027,0.07437946300296266,0.0875591993066046,0.07077804820458972,0.07433049891739374,34,2024-08-01
2024-08,Gauche moderee,0.14278121631629495,0.08898805750855099,0.10604693131346035,0.08754639335218098,0.09219508867287768,16,2024-08-01
2024-08,Gauche radicale,0.13364271613045645,0.08060776878210639,0.09032463213379763,0.08063209254179662,0.07815184353293081,99,2024-08-01
2024-09,Centre / Majorite,0.09903756685132505,0.0606069541956451,0.0669967776226761,0.04068313007805678,0.04641998767817011,15,2024-09-01
2024-09,Droite,0.14247154607143364,0.087509351555851,0.10562170070809354,0.09364395357021493,0.09889572444054992,19,2024-09-01
2024-09,Gauche moderee,0.15479475446304283,0.09765694666457604,0.12305288178703334,0.10239014250052876,0.10163411021807012,21,2024-09-01
