ID;SOURCE;AUTEUR;GROUPE;DATE;PERIODE;CONTEXTE;URL;TEXTE;MOTS_CLES;HORS_SUJET;STANCE;INTENSITE;CIBLE;CADRAGE;NOTES
0021;Twitter;clemence_guette;LFI-NFP;2024-05-29;P4_rafah;;/Clemence_Guette/status/1795873506372235533#m;"En Macronie c’est le règne de l’arbitraire, de la censure, des copinages, et du deux poids, deux mesures.

Pourquoi ce qui s’est passé hier à l’Assemblée est un scandale ? 

Le soutien inconditionnel au massacre à Gaza, est apparu au grand jour, dans toute son horreur. ⤵️";gaza, massacre;;;;;;
0022;Twitter;ersiliasoudais;LFI-NFP;2024-08-21;P4_rafah;;/ErsiliaSoudais/status/1826176774163607638#m;"🇳🇨 Le gouvernement français n'a pas respecté les droits fondamentaux du peuple kanak, par la répression exercée contre lui et la négation de son droit à l'autodétermination, selon les rapporteurs spéciaux de l'ONU.

Il est maintenant temps pour la France de décoloniser la Kanaky.";onu, autodetermination;;;;;;
0023;Assemblee;M. Frédéric Petit;MODEM;2024-01-16;P2_offensive;;;au cours de ce mandat je me suis rendu a hebron a bethleem a jerusalem a tel aviv en algerie au kurdistan et au liban dans le cadre de ma mission au sein de la commission des affaires etrangeres;tel aviv, hebron, jerusalem;;;;;;
0024;Twitter;portes_thomas;LFI-NFP;2025-03-29;P7_cessez_feu;;/Portes_Thomas/status/1906024197345661266#m;14 secouristes assassinés par Israël, véritable état voyou hors de contrôle.;israel;;;;;;
0025;Twitter;guiraudind;LFI-NFP;2023-11-12;P2_offensive;;/GuiraudInd/status/1723748686075765192#m;"🇵🇸 Les attaques et les calomnies médiatiques et politiques contre moi ont des conséquences. Sur ma vie.

Des franco-israéliens membres d’une armée criminelle réalisant un nettoyage ethnique inscrivent mon nom sur un missile et menacent un parlementaire français. Ils seront déçus d’apprendre que quel que soit le degrés de danger, ma voix pour la Palestine ne s’éteindra pas, ne se taira pas, ne se réduira pas. J’appelle les politiques et les médias à prendre conscience des conséquences réelles de leurs manipulations sur mes déclarations.";israelien, israel, israeliens, palestine;;;;;;
0026;Assemblee;Mme Fatiha Keloua Hachi;SOC;2024-03-28;P3_post_cij;;;fatima bedar avait quinze ans son visage celui d une jeune fille sans histoire aux joues rosees et aux deux longues tresses brunes represente sur une fresque a aubervilliers en seine saint denis m a longtemps hantee elle est morte noyee dans la seine parce qu elle etait algerienne reste trop longtemps oublie il doit desormais etre connu de tous comme fatima plusieurs centaines d algeriennes et d algeriens perirent assassines durant cette nuit sombre d octobre 1961 et puis rien il s en est ensuivi un silence assourdissant et complice une amnesie d etat un effacement administratif une simple inscription ici on noie les algeriens peinte a la hate sur les quais de la seine quelques jours apres le massacre qu on s empressera d ailleurs d effacer premier signe d un oubli delibere et d un contre recit methodiquement construit comme cette inscription le nom et le drame des centaines d algeriens massacres ont ete effaces leurs noms et leur souvenir ont ete emportes par les flots de la seine ce soir d octobre 1961 pourtant comme les corps sans vie de ces centaines d innocents leur histoire une histoire bien francaise a fini par remonter a la surface malgre les tentatives d etouffement de ce crime d etat nous sommes reunis pour dire cette verite grace au travail acharne de notre chere collegue sabrina sebaihi que je remercie chaleureusement applaudissements sur les bancs des groupes soc re lfi nupes dem ecolo nupes et gdr nupes que s est il passe le 17 octobre 1961 ce n etait pas un simple maintien de l ordre qui aurait degenere mais un bain de sang premedite une chasse a l homme organisee le spasme violent d un pouvoir qui savait que le monde de domination coloniale qu il avait bati pendant des siecles etait en train de s effondrer definitivement une terreur sanglante orchestree par le prefet de police de paris maurice papon celui la meme qui a peine vingt ans auparavant s etait deja rendu coupable des pires crimes contre l humanite;7 octobre, massacre;;;;;;
0027;Assemblee;M. Julien Odoul;RN;2023-05-04;P0_pre_7oct;;;cette proposition de resolution ne vise pas a denoncer l action du gouvernement de l etat d israel mais a remettre en cause l existence meme de cet etat applaudissements sur les bancs du groupe rn;israel;;;;;;
0028;Twitter;isasantiago_94;SOC;2023-10-08;P1_choc;;/isasantiago_94/status/1711130666480353714#m;"J’adresse mes plus sincères condoléances aux familles dans un chagrin incommensurable 🙏🏼😭 
#Israel_under_attack et participerais au rassemblement organisé demain en france en solidarité avec la population israélienne. @socialistesAN @AssembleeNat";israelien, israel, israelienne;;;;;;
0029;Twitter;boccaletti83;inconnu;2025-09-22;P7_cessez_feu;;/Boccaletti83/status/1970050104087511446#m;"Reconnaître un État palestinien sans garanties, c’est offrir une victoire politique au Hamas après le massacre du 7 octobre.

La France doit soutenir la paix et la sécurité dans la région, pas encourager un terrorisme qui frappe ici comme là-bas.

#ONU";palestinien, hamas, etat palestinien, 7 octobre, onu, massacre;;;;;;
0030;Twitter;simonnetdeputee;ECO-NFP;2024-05-29;P4_rafah;;/SimonnetDeputee/status/1795797769170337993#m;"Je ne pourrai pas être là ce soir pour voir le film « Gaza depuis le 7 octobre » projeté à l’AN par notre collègue @CaronAymericoff Je ne me sens pas capable de voir les images de toutes les atrocités des massacres des Gazaouis comme je n’ai pas voulu voir celles des massacres du 7 octobre commises par le Hamas. Mais j’estime très important que ce film soit diffusé à l’AN. 
Bravo et merci à @CaronAymericoff pour ce travail, pour ce combat. 
Il est possible et urgent de stopper le génocide en cours : cessez-le-feu immédiat, arrêt des ventes d’armes, libération des otages, poursuites contre les criminels de guerre et reconnaissance de l’État de Palestine.";palestine, gaza, hamas, 7 octobre, otage, genocide, otages, massacre, cessez-le-feu;;;;;;
0031;Twitter;sebastienjumel;GDR;2023-10-24;P1_choc;;/sebastienjumel/status/1716756045656203628#m;Nous attendons du gouvernement et du Président de la République un appel clair, net à un cessez-le-feu immédiat et sans conditions à #Gaza pour les civils, pour les otages, pour nos ressortissants coincés à Gaza. #DirectAN;gaza, civils, otage, otages, cessez-le-feu;;;;;;
0032;Assemblee;M. Romain Baubry;RN;2025-11-27;P7_cessez_feu;;;vous verrez que d autres amendements tendront a preciser que cette mesure concerne l outre mer dans la republique francaise n oublions pas que vous etes vous aussi des deputes de la republique francaise quand on parle des territoires d outre mer et je pense que c est malheureux pour vous on ne parle pas de gaza qui n en fait pas partie rires et applaudissements sur les bancs du groupe rn;gaza;;;;;;
0033;Assemblee;M. Jean-Noël Barrot;MODEM;2025-06-03;P7_cessez_feu;;;nous appelons donc le premier ministre israelien a revenir exactement a ses propos de 2009 la se trouve la seule voie qui menera son peuple a la paix et a la securite applaudissements sur quelques bancs des groupes epr dr et dem;israelien, israel;;;;;;
0034;Twitter;mbompard;LFI-NFP;2023-11-26;P2_offensive;;/mbompard/status/1728708058010767870#m;La tribune des 18 diplomates français publiée hier est très claire : il n'y aura pas de règlement durable au conflit israélo-palestinien sans une solution politique négociée, conforme au droit international.;israel, palestinien, droit international;;;;;;
0035;Twitter;portes_thomas;LFI-NFP;2024-05-28;P4_rafah;;/Portes_Thomas/status/1795546178878144715#m;"Des milliers ce soir à République pour réaffirmer notre solidarité au peuple Palestinien et dire non au génocide commis par Israël et son armée de criminels. 
Vive le peuple palestinien !";israel, palestinien, genocide;;;;;;
0036;Assemblee;M. Gabriel Attal;REN;2024-05-07;P4_rafah;;;vous l avez dit hier soir les forces armees israeliennes sont entrees dans rafah ville du sud de la bande de gaza ou se trouveraient plus de 1 million de personnes;israelien, israel, gaza, israeliennes, israelienne, bande de gaza, rafah;;;;;;
0037;Assemblee;M. Jean-Louis Thiériot;LR;2024-10-02;P5_escalade;;;et les attaques du hezbollah contre le territoire israelien qui ont entraine le liban dans une guerre dont les libanais ne veulent pas et dont ils sont les premieres victimes la france exprime avec la meme fermete son opposition aux operations terrestres israeliennes au liban;israelien, israel, israeliennes, israelienne;;;;;;
0038;Assemblee;M. Frédéric Petit (Dem);DEM;2025-01-14;P6_mandats_cpi;;;je remercie nos collegues du groupe gdr d avoir pris l initiative de ce debat je vous remercie mesdames pour vos interventions tres techniques et riches je tiens d abord a rappeler que la diplomatie francaise ne se resume pas a la diplomatie d un gouvernement ni meme d un seul homme qu elle n est pas non plus la diplomatie menee depuis sept ans puisqu elle a toute une histoire que vous avez rappelee mesdames de maniere precise la diplomatie francaise c est aussi sa diplomatie parlementaire en novembre 2023 la commission des affaires etrangeres de notre assemblee avait estime de maniere quasi unanime une seule voix s etait exprimee contre qu israel menait une forme de nettoyage ethnique je reviens sur la question des consequences de l arrivee de trump a laquelle nous n avons pas tout a fait repondu selon moi vous avez employe a cet egard une excellente image madame chemillier gendreau en distinguant l horizontal et le vertical je crois que trump est un homme de transactions ce qui nous menace c est le remplacement du droit par la transaction nous devrons etre tres vigilants quant a son intention de resoudre en vingt quatre heures la guerre en ukraine d autant que nous avons deja connu cela en europe les accords de dayton ne sont pas du droit c est une transaction trente ans apres la situation est bloquee et demeure inflammable en faisant ces rappels je souligne l interet de conserver la pluralite au sein de la commission des affaires etrangeres et d envisager les questions sous tous les angles pour fonder nos avis ma question s adresse a mme rezagui je m interesse beaucoup a la region ou je me suis rendu a plusieurs reprises le statut de jerusalem est un peu particulier la ville est traversee de frontieres invisibles quelle est votre analyse a ce sujet s agit il ou non d une occupation quelles sont les implications notamment pour le transfert des ambassades;israel, occupation, jerusalem;;;;;;
0039;Twitter;s_legrain;LFI-NFP;2024-05-27;P4_rafah;;/S_Legrain/status/1795104071436673250#m;"🇵🇸Stop au génocide !

Nul ne peut détourner les yeux des images de #Rafah sans s'en rendre le complice.

Rdv à 18h30 place Saint-Augustin.

Exigeons la fin des contrats d'armement et de l'accord UE-Israël, la punition des criminels de guerre, la reconnaissance de la Palestine !";israel, palestine, genocide, rafah;;;;;;
