ID;SOURCE;AUTEUR;GROUPE;DATE;PERIODE;TEXTE;MOTS_CLES;STANCE;INTENSITE;CIBLE;CADRAGE;NOTES
0215;Twitter;caronaymericoff;LFI-NFP;2024-04-27;P3_post_cij;"Cette dame, qui m’a pris à partie hier devant #SciencesPo, m’a aussi affirmé, alors que je disais que nous défendions simplement le peuple palestinien : « Le peuple palestinien n’existe pas. »
Voilà ce que pensent ceux qui ont tenté de venir faire le coup de poing hier après-midi à Sciences Po Paris avec des drapeaux israéliens pour défendre le régime génocidaire de Netanyahou: pour ces extrémistes les Palestiniens n’ont aucun droit, ils n’existent même pas, on peut donc les exterminer sans prob...";palestiniens, israelien, israel, israeliens, netanyahou, palestinien;;;;;
0216;Assemblee;Mme Michèle Tabarot;LR;2025-06-25;P7_cessez_feu;nous saluons aussi l engagement de la france a defendre israel contre les attaques subies;israel;;;;;
0217;Twitter;deputee_obono;LFI-NFP;2024-05-17;P4_rafah;8/Les revendications d'autodétermination Kanaks ne sont ni racistes ni xénophobes mais universelles & républicaines. Elles ont impulsé un processus de décolonisation & la construction d'une citoyenneté originale propre à ce territoire multiculturel. Elles doivent être respectées.;autodetermination, colonisation;;;;;
0218;Twitter;mariondepute41;REN;2023-11-26;P2_offensive;Arrivée à @bengurionairpor à @TelAviv pour un déplacement en @Israel de deux jours. Réaffirmer encore et toujours #BringThemAllHomeNow @TerresDeProgres @DeputesRE;israel;;;;;
0219;Twitter;matthiastavel;LFI-NFP;2023-10-19;P1_choc;Au Parlement européen, les macronistes votent contre le cessez-le-feu et la position du secrétaire général de l'ONU !;onu, cessez-le-feu;;;;;
0220;Assemblee;M. Aurélien Saintoul;LFI;2023-11-26;P2_offensive;combien de temps aura t il fallu pour faire resonner un appel clair au cessez le feu applaudissements sur les bancs du groupe lfi nupes m benjamin lucas applaudit egalement en apportant un soutien inconditionnel a israel vous avez condamne la france a n etre qu un temoin alors qu elle devrait etre la gardienne vigilante du droit international et de son application rigoureuse vous avez laisse prosperer l idee qu elle pouvait souffrir la mort d innocents pourvu qu elle repondit a la mort d autres innocents memes mouvements cynisme ou betise vous affirmez encore que c est afin d eviter l arrivee au pouvoir de l extreme droite que vous avez adopte ses themes ses mots et son programme vous etes de ces originaux qui pour ne pas etre mouilles par la pluie se jettent dans la piscine applaudissemen...;israel, droit international;;;;;
0221;Twitter;portes_thomas;LFI-NFP;2024-01-30;P3_post_cij;Depuis plusieurs semaines 4000 français sont engagés à Gaza aux côtés de l’armée israélienne. Alors que que la Cour de Internationale de Justice a indiqué l’existence « d’un risque de sérieux de génocide » dans la bande de Gaza, demandant la mise en place de mesures conservatoires, la France doit faire respecter ces mesures comme signataire de la convention de 1948. En refusant d’ouvrir des enquêtes et en fermant les fermant les yeux sur ces 4000 soldats, la France se rend complice des crimes de...;israelien, israel, gaza, israelienne, armee israelienne, bande de gaza, genocide, crimes de guerre;;;;;
0222;Twitter;julienodoul;RN;2025-06-28;P7_cessez_feu;Comme les #islamistes soutenus par la meute #LFI, le député pro #Hamas lance une fatwa contre un journaliste. Silence radio des syndicats de la presse et de la gauche. Quand on est d’extrême gauche, on peut, en toute impunité, menacer de mort ceux qui ne pensent pas comme vous.;hamas;;;;;
0223;Assemblee;M. Jean-Noël Barrot;MODEM;2025-03-11;P7_cessez_feu;je vous remercie pour votre engagement en tant que president du groupe d etudes sur les chretiens d orient si les massacres perpetres ces derniers jours sur la cote alaouite ont principalement touche cette communaute les communautes chretiennes n ont pas ete epargnees par les exactions nous sommes engages en faveur de toutes les communautes en syrie anne bergantz l a rappele nous avons accueilli tres favorablement l accord trouve hier apres des semaines de mediation entre le gouvernement interimaire et les kurdes qui permet de resoudre une partie du probleme qui entravait le chemin de la syrie vers l unite et vers la paix cependant nous accordons une attention toute particuliere aux communautes chretiennes en syrie en temoigne le choix que j ai fait lorsque je me suis rendu le 3 janvier a ...;massacre, jerusalem;;;;;
0224;Assemblee;Mme Constance Le Grip (EPR);EPR;2025-06-25;P7_cessez_feu;a cette heure tardive de la nuit beaucoup de choses ont deja ete evoquees la paix la guerre la force la paix par la force le retour de la conflictualite partout et le basculement du monde aussi dans les quelques minutes qui me sont imparties je voudrais m attacher a parler a mon tour de la menace qu a fait peser et que continue de faire peser la republique islamique d iran depuis la revolution islamique de 1979 ce regime s est engage dans une hostilite structurelle et ideologique a l egard de l etat d israel qu il souhaite rayer de la carte et des etats unis d amerique de maniere generale il applique une strategie de destabilisation agressive a l encontre des nations occidentales cette strategie inclut regulierement le recours au terrorisme hamas hezbollah houthis milices chiites en irak e...;israel, hamas, droit international, otage, otages;;;;;
0225;Twitter;paulvannierfi;LFI;2023-11-18;P2_offensive;🕊️A une heure du départ de la manifestation parisienne pour le cessez-le-feu immédiat à #Gaza, retrouvez mon intervention hier à la manifestation Argenteuillaise, qui a rassemblé plus de 400 personnes.;gaza, cessez-le-feu;;;;;
0226;Twitter;caronaymericoff;LFI-NFP;2024-04-01;P3_post_cij;Le Hamas, « mes amis » ? @al_petel j’ai découvert à travers vous, à l’Assemblée, ce qui se fait de pire dans la politique.;hamas;;;;;
0227;Twitter;brunomillienne;MODEM;2023-10-30;P1_choc;"Le courage de @faureolivier n'aura malheureusement duré que quelques jours.
Comme s'il cherchait de nouveau à faire allégeance à ce que la gauche produit de pire, le voila qui met au même niveau le Hamas et Tsahal, c'est à dire des gens qui assassinent des bébés parce que juifs, et l'armée d'un Etat démocratique qui se défend après une attaque sans précédent, avec le lot de victimes collatérales inhérent à la guerre, notamment face à un adversaire qui les utilise à dessein...
Toutes les victimes...";tsahal, hamas, 7 octobre;;;;;
0228;Twitter;hadrienclouet;LFI-NFP;2024-08-19;P4_rafah;La polio a tué 14 000 enfants Palestiniens de moins que l'armée israélienne.;palestiniens, israelien, israel, palestinien, israelienne, armee israelienne;;;;;
0229;Twitter;portes_thomas;LFI-NFP;2025-08-30;P7_cessez_feu;Force à @RimaHas et à toutes celles et ceux qui se lèvent contre le génocide pendant que vous pataugez sourire aux lèvres dans le sang des palestiniens assassinés par Israël.;palestiniens, israel, palestinien, genocide;;;;;
0230;Twitter;hadrienclouet;LFI-NFP;2025-09-20;P7_cessez_feu;"Oui à la reconnaissance de la #Palestine 🇵🇸 lundi par la #France. D'une Palestine libre, souveraine et dotée d'une Défense nationale.

Pas d'un champ de ruines post-génocide.

#Toulouse est anticolonialiste.";palestine, genocide;;;;;
0231;Twitter;gdefournas;RN;2026-01-03;P7_cessez_feu;"Le régime rouge de Nicolás Maduro appelle de nombreuses critiques légitimes sur le plan démocratique. Des millions de Vénézuéliens ont souffert de cette dictature sanguinaire et sans pitié, qui a privé de droits politiques l’opposition et entretenu le pays dans une interminable crise économique. Personne ne le regrettera.

Pour autant, le respect du droit international et de la souveraineté des États ne peut être à géométrie variable. Le renversement extérieur d’un gouvernement, par la force, ne...";droit international, legitime;;;;;
0232;Twitter;mathildepanot;LFI-NFP;2023-10-28;P1_choc;"Nous, insoumis, n’aurons pas à rougir devant l’Histoire car face à l’horreur, nous n’aurons eu qu’un seul mot d’ordre : Cessez-le-Feu ! 

#Gaza";gaza, cessez-le-feu;;;;;
0233;Twitter;couturiercathy;LFI;2024-06-21;P4_rafah;"1/2
📌1 Jour 1 jeune en soutien à Catherine Couturier
Jour 2
✊✊🏽Lutter contre toutes les formes de racismes, contre l’antisémitisme et l’islamophobie
Au moment où l’extrême droite menace, ns rappelons que la parole & les actes racistes, antisémites & islamophobes st des délits";antisemitisme, antisemite, islamophobie, islamophobe;;;;;
0234;Twitter;williammartinet;LFI;2024-03-12;P3_post_cij;"Nous avons condamné l'invasion russe totalement illégale au regard du droit international. Nous soutenons l'aide matérielle et militaire à l'Ukraine (à condition qu'elle ne permette pas de frapper le sol russe). Nous réclamons que la France soutienne l'ouverture de négociations dont le point de départ est le respect de l'intégrité territoriale de l'Ukraine. En quoi cela consiste à ""soutenir activement l'action de poutine"" ?";illegal, droit international, illegale;;;;;
0235;Twitter;gabrielamard;LFI;2024-05-21;P4_rafah;"Porte-à-porte géant cet après-midi dans le quartier du Tonkin à #Villeurbanne avec @DamienCAREME pour parler élections européennes, paix à Gaza, blocage des prix … 

Un accueil incroyable : le 9 juin on se donne de la force !";gaza;;;;;
0236;Twitter;mbompard;LFI-NFP;2024-09-29;P4_rafah;"La France doit faire entendre une voix de paix au Liban et à Gaza.

Il faut un embargo sur les armes livrées à Israël et suspendre l’accord d’association entre l’Union européenne et Israël.";israel, gaza;;;;;
0237;Twitter;gdarmanin;REN;2024-07-21;P4_rafah;La délégation Israélienne fera l’objet d’une sécurisation renforcée par les forces de l’ordre pendant toute sa présence sur le territoire national.;israelien, israel, israelienne;;;;;
0238;Twitter;dupontaignan;NI;2023-11-29;P2_offensive;Les propos indignes du Ministre de la Justice #DupondMoretti dans l’hémicycle hier ne visent qu’à fracturer davantage le pays. Comment cet homme, même relaxé pour sa prise illégale d’intérêts, peut-il rester garde des Sceaux ? C'est une insulte pour la démocratie.;illegal, illegale;;;;;
0239;Twitter;eciotti;UDR;2024-08-09;P4_rafah;"Le 9 août 1982, des terroristes palestiniens frappaient au cœur de Paris, rue des Rosiers, faisant 6 morts et 22 blessés dans un acte antisémite brutal. 

Plus de 40 ans après, la quête de justice continue pour les victimes et leurs familles. 

Nous ne devons jamais oublier.";palestiniens, palestinien, antisemite;;;;;
0240;Assemblee;Mme Mathilde Panot;LFI;2023-10-23;P1_choc;et que les bombes cessent de pleuvoir sur une population palestinienne prise au piege dans ce que dominique de villepin appelait a juste titre une prison a ciel ouvert memes mouvements;palestinien, palestinienne;;;;;
0241;Assemblee;M. François Ruffin;LFI;2024-01-16;P2_offensive;croit on vraiment que c est ainsi en multipliant changements et revirements que nous renouerons une cooperation avec ces pays troisiemement ces fonds ne font pas une politique ne remplacent pas la politique pour la palestine la france delivre chaque annee une aide de 95 millions d euros et nous oeuvrons actuellement en plein conflit a contribuer aux secours humanitaires mais a quoi bon a quoi bon quand ces territoires sont chaque jour bombardes m matthias tavel applaudit a quoi bon quand plus de 20 000 gazaouis sont tues a quoi bon quand 3 d entre eux sont blesses quand la moitie ont leur maison detruite quand 85 sont deplaces hors de leur domicile mme caroline yadan s exclame a quoi bon quand se repandent la faim et les maladies a quoi bon quand le gouvernement israelien mene une nouvelle...;palestiniens, israelien, israel, israeliens, palestine, gaza, israeliennes, netanyahou, palestinien, hamas, israelienne, gouvernement israelien, tel aviv, cisjordanie, crimes de guerre, nations unies, massacre, colonies, cour penale internationale, conseil de securite;;;;;
0242;Assemblee;M. Pieyre-Alexandre Anglade;REN;2023-11-28;P2_offensive;d autres font encore l objet de discussions nous aurons a debattre prochainement de la reforme institutionnelle a venir le debat qui nous occupe aujourd hui est important il est meme plus essentiel que jamais a un moment ou notre europe est bousculee comme elle l a rarement ete dans son histoire la guerre est revenue sur notre continent je pense evidemment a l ukraine ou un peuple europeen les ukrainiens se bat pour sa liberte apres pres de deux ans de guerre notre message doit etre ici tres simple nous sommes aux cotes de l ukraine pour qu elle puisse non seulement se defendre mais aussi recouvrer sa souverainete son independance et son integrite territoriale la guerre est aussi revenue a nos portes de l armenie dont le peuple est attaque au haut karabakh au proche orient je pense evidemm...;israel, gaza, bombardement, bombardements;;;;;
0243;Assemblee;M. Joël Bruneau;LIOT;2025-07-02;P7_cessez_feu;mais bien sur a cette fin elle utilise de maniere commode le faux nez de l antisionisme le groupe liot ne soutiendra evidemment pas cette motion de rejet applaudissements sur les bancs des groupes epr et dr;sionisme, antisionisme;;;;;
0244;Twitter;guiraudind;LFI-NFP;2023-10-18;P1_choc;🇵🇸 Les bombardements israéliens font vivre un enfer permanent aux civils. Ce soir nous apprenons qu’une mosquée aurait été détruite. Ici, une résidence toute proche d’un hopital est foudroyée. Quel est le but de ce massacre ? Quand s’arretera cette folie ?;israelien, israel, israeliens, bombardement, civils, massacre, bombardements;;;;;
0245;Twitter;villedieu_a;RN;2025-05-08;P7_cessez_feu;"🇫🇷 Il y a 80 ans prenait fin l’une des pages les plus sombres de notre histoire. Grâce au courage des Alliés, la barbarie nazie fut vaincue. 

N’oublions jamais les millions de victimes de la haine : Juifs, résistants, déportés, civils innocents, ni les sacrifices consentis pour que la France demeure libre. #8mai1945";crif, civils;;;;;
0246;Assemblee;M. Éric Bothorel;REN;2023-10-10;P1_choc;j aimerais vous interroger monsieur le ministre delegue sur la facon dont vous avez vecu ces dernieres heures l attaque d israel par le hamas terroriste ayant donne lieu a des debordements haineux en tous genres sur les reseaux sociaux certes ces amendements visent la provocation non suivie d effet a commettre des actes de violence comparaison n est pas raison neanmoins je tiens a vous interpeller sur un fait nouveau ce soir thierry breton a adresse un courrier au patron de x ex twitter le mettant en demeure d agir contre l utilisation de la plateforme pour diffuser dans l union europeenne des contenus illicites et de la desinformation nous sommes nombreux sur ces bancs a considerer que x doit appliquer la nouvelle legislation europeenne sur les services numeriques le digital services act ...;israel, hamas;;;;;
0247;Assemblee;Mme Nathalie Oziol;LFI-NFP;2024-10-30;P5_escalade;bannir l unrwa c est condamner a mort dans des souffrances abominables le peuple palestinien et les travailleurs humanitaires de l unrwa dont 231 ont ete tues par l armee israelienne applaudissements sur les bancs du groupe lfi nfp;israelien, israel, palestinien, israelienne, armee israelienne, unrwa;;;;;
0248;Twitter;alexisjollyrn;RN;2024-04-15;P3_post_cij;"🇮🇱 Total soutien à #Israël qui fait face encore une fois, avec bravoure, aux attaques des pires régimes islamistes.

🇮🇷 L’#Iran, c’est le régime de la burqa, des pendaisons, le refuge des islamistes et le cauchemar des femmes !";israel;;;;;
0249;Twitter;c_dintorni;inconnu;2023-09-12;P0_pre_7oct;"🎙️ Je refuse que nos écoles, nos collèges et nos gymnases soient réquisitionnés pour accueillir les 4900 mineurs non accompagnés qui sont entrés illégalement en France et dont la minorité n’est que présumée ! 

Il faut mettre fin à cette politique laxiste de l’État et pour cela changer de prisme afin d’endiguer ces flux : notre pays ne doit plus être une passoire attractive !!

⬇️@RCFcotedazur & @NicePresse";illegal, illegale;;;;;
0250;Twitter;ugobernalicis;LFI-NFP;2024-05-27;P4_rafah;"Les images qui nous sont parvenues hier de #Rafah sont absolument effroyables. 

Il est grand temps que la France agisse. Les criminels de guerre #Netanyahou et son gouvernement doivent être sanctionnés tout comme l'armée génocidaire israelienne, le génocide en cours doit être stoppé et l'Etat de #Palestine reconnu.  🇵🇸";israelien, israel, palestine, netanyahou, israelienne, genocide, rafah;;;;;
0251;Assemblee;Mme Florence Goulet;RN;2024-03-12;P3_post_cij;monsieur le ministre des affaires etrangeres le 27 fevrier dernier emmanuel macron recevait l emir du qatar en grande pompe a l elysee c est un immense honneur pour la france a t il meme souligne se felicitant de la conclusion d un accord de cooperation en gage de cette belle amitie voici ce qu il offre silence total sur les liens de ce pays avec les mouvements islamistes du moyen orient des freres musulmans au hamas qu il heberge ce hamas coupable de toutes les atrocites et de crimes sexuels de masse lors de l attaque du 7 octobre dernier en israel;israel, hamas, 7 octobre, attaque du 7 octobre;;;;;
0252;Twitter;alexiscorbiere;inconnu;2024-03-25;P3_post_cij;"Enfin ! Bonne nouvelle ! Le Conseil de sécurité de l’ONU adopte une résolution exigeant, de la part du gouvernement israélien, un Cessez-le-feu immédiat à #Gaza !
Le droit international doit être respecté !

francetvinfo.fr/monde/proche…";israelien, israel, gaza, gouvernement israelien, droit international, onu, cessez-le-feu, conseil de securite;;;;;
0253;Twitter;louisboyard;LFI-NFP;2023-10-27;P1_choc;"À Gaza, un nouveau cap est encore passé dans l’horreur. 

Un déluge de feu saccage ce qu’il reste de la ville à l’approche d’une intervention militaire terrestre. 

Sur place, plus de réseau. Silence on massacre. 

C’est donc ça « le droit de se défendre » ?";gaza, massacre;;;;;
0254;Assemblee;M. Julien Odoul;RN;2024-03-06;P3_post_cij;il se fonde sur l article 100 relatif a la bonne tenue de nos debats je veux rappeler que depuis le 7 octobre et a peine quelques secondes apres avoir appris les massacres les pogroms et les abominations du hamas toutes vos prises de parole politiques ont tendu a minimiser et a edulcorer ce qui s est passe vives protestations sur les bancs du groupe lfi nupes;hamas, 7 octobre, massacre;;;;;
0255;Assemblee;M. Benjamin Saint-Huile;LIOT;2023-10-23;P1_choc;nous le savons puisque nous comptons parmi ceux qui ont ete touches par des attentats terroristes la reponse doit etre a la hauteur des exigences de la situation elle doit etre proportionnee conforme au droit international et humanitaire nous savons parce que nous en avons comme d autres fait l experience que ni la rage ni l aveuglement ne peuvent construire des reponses adaptees nous savons aussi que le droit a la securite pour israel pour les israeliennes et pour les israeliens sera quoi que veuillent certains conditionne a la reconnaissance effective de l etat de palestine nous savons depuis trop longtemps que le chemin de la paix espere par toutes celles et tous ceux qui regardent la situation au proche orient de maniere responsable depend de la capacite a construire une reponse a l ur...;palestiniens, israelien, israel, israeliens, palestine, gaza, israeliennes, netanyahou, palestinien, hamas, palestinienne, israelienne, crif, droit international, civils, colons, autorite palestinienne, colonisation, legitime, nations unies, massacre;;;;;
0256;Assemblee;M. Jérémie Patrier-Leitus;HOR;2024-03-19;P3_post_cij;le 2 juin 1941 le regime de vichy promulgue le statut des juifs et limite l acces des etudiants juifs aux universites quatre vingts ans apres nous pensions que ces faits appartenaient aux heures les plus sombres de notre histoire quatre vingts ans apres nous pensions que la bete immonde de l antisemitisme etait gavee de sang apres la shoah et pourtant elle renait le poison de l antisemitisme vient pourrir notre societe on dirait que ce que je raconte n interesse pas certains de nos collegues exclamations sur quelques bancs du groupe lfi nupes il se deverse meme au coeur de nos universites mardi dernier a sciences po paris institution prestigieuse qui forme depuis le xixe siecle les dirigeants de notre pays et dans laquelle j enseigne depuis plus de sept ans une soixantaine d individus ont ...;gaza, antisemitisme;;;;;
0257;Assemblee;M. Philippe Ballard;RN;2023-10-31;P1_choc;madame la ministre de la culture trois semaines apres le debut de la guerre entre israel et le mouvement palestinien hamas gaza est coupee du monde l auteur de cette phrase extraite d une depeche du 27 octobre de l agence france presse afp n a fait qu appliquer les consignes donnees par sa direction une note interne l a informe qu il convenait d evoquer les combattants du hamas non les islamistes du hamas et de proscrire a leur sujet le terme terroriste dont le directeur de l information explique qu il a tout bonnement perdu son sens;israel, gaza, palestinien, hamas, 7 octobre;;;;;
0258;Assemblee;Mme Amélie de Montchalin;PS-NFP;2025-11-17;P7_cessez_feu;et que le gouvernement s est mis en ordre de marche pour le faire respecter cela ne s est pas fait par magie mais avec une grande methode dont l un des elements consistait a vous rendre compte du budget lorsque j etais parlementaire je trouvais en effet extremement frustrante et meme desolante l absence d information claire et complete en temps reel apres le vote d un budget nous vous avons non seulement fourni les donnees sur l execution budgetaire de l etat mais egalement sur celle des collectivites et de la securite sociale bref sur l ensemble de la depense publique pourquoi quand on ne le fait pas les decisions de gestion ne sont pas partagees protestations et des doutes subsistent sur notre engagement budgetaire deuxieme point protestations sur les bancs des deputes lfi nfp et ecos j ...;gaza, occupation;;;;;
0259;Assemblee;Mme Élisabeth Borne;LFI;2023-10-23;P1_choc;tout d abord nous agissons depuis la premiere heure pour la securite de nos ressortissants une cellule a immediatement ete activee au centre de crise du ministere des affaires etrangeres les services du quai d orsay notre ambassade et notre consulat general a tel aviv ainsi que notre consulat general a jerusalem travaillent jour et nuit pour assurer un soutien aux familles de nos compatriotes portes disparus ou tues dans les attaques;tel aviv, jerusalem;;;;;
0260;Twitter;clem_autain;LFI;2024-10-02;P5_escalade;"Qu'importe les crimes de guerre.
Qu'importe le massacre des civils palestiniens et libanais.
Qu'importe le droit international pietiné.
Qu'importe l'embrasement possible dans toute la région.
Le RN et sa solidarité sans faille à B. Netanyahou....
Et cela ne fait pas scandale. Insensé.";palestiniens, netanyahou, palestinien, droit international, civils, crimes de guerre, massacre;;;;;
0261;Assemblee;M. Sébastien Delogu;LFI-NFP;2025-05-28;P7_cessez_feu;il y a un an jour pour jour je brandissais le drapeau palestinien dans cet hemicycle applaudissements sur les bancs du groupe lfi nfp comme beaucoup d autres francais j ai ete sanctionne intimide menace et meme moque je vous ai vus vous moquer car je trebuchais sur des mots mais moi au moins mes valeurs n ont pas titube ah vous qui etes si instruits si intelligents cette belle societe si parfaite si mesuree qu avez vous fait face a l horreur a part tenter de faire taire celles et ceux qui denoncaient le genocide memes mouvements apres vingt mois d images abominables d enfants demembres par des bombes d enfants ecrases sous des decombres ou brules dans des brasiers geants vingt mois durant lesquels l appareil d etat a deploye une repression sans precedent nous pensons a celles et ceux qui o...;palestine, palestinien, antisemite, genocide;;;;;
0262;Twitter;portes_thomas;LFI-NFP;2023-12-21;P2_offensive;L’Afrique du Sud annonce que des sanctions seront prises contre les citoyens qui combattent avec l’armée israélienne à #Gaza et se rendent coupables de crimes de guerre.  courrierinternational.com/ar…;israelien, israel, gaza, israelienne, armee israelienne, crimes de guerre;;;;;
0263;Twitter;faureolivier;PS-NFP;2025-03-20;P7_cessez_feu;"Le silence est coupable. Le droit international doit s’appliquer partout ! La France et l’Union Européenne doivent faire entendre la voix du droit et de notre commune humanité. 

#Gaza #Katz";gaza, droit international;;;;;
0264;Twitter;eciotti;UDR;2023-01-27;P0_pre_7oct;"Pendant ce temps, en France, un membre d’un groupe terroriste palestinien est accueilli les bras ouverts par le maire de Lyon !

Nous devons être intraitables avec toute forme de connivence envers des idéologies antisémites.
leprogres.fr/amp/societe/202…";palestinien, antisemite;;;;;
0265;Assemblee;M. Jean-Paul Lecoq;GDR;2025-05-13;P7_cessez_feu;a gaza les jours se suivent et le cauchemar de la population civile des humanitaires et des otages ne fait que s intensifier les souffrances sciemment infligees au peuple palestinien les bombardements des hopitaux et des ecoles et la famine utilisee comme arme de guerre sont desormais denonces par de plus en plus de voix des rues de jerusalem jusqu aux marches du palais des festivals de cannes pour faire cesser le genocide en cours applaudissements sur les bancs des groupes gdr et lfi nfp refusons les propagandes qui colonisent sans arret nos imaginaires et nous font perdre le sens de nos humanites disent les personnalites du monde du cinema dans une tribune les condamnations de la france et des dirigeants europeens ne peuvent suffire a faire face a la catastrophe humanitaire a la gravite ...;israelien, israel, palestine, gaza, palestinien, catastrophe humanitaire, famine, etat palestinien, solution a deux etats, bombardement, antisemite, cisjordanie, otage, genocide, deux etats, otages, colonisation, colonies, bombardements, jerusalem;;;;;
0266;Twitter;dupontaignan;NI;2023-10-27;P1_choc;En réponse à l’abomination du 7 octobre, l’offensive d’Israël à Gaza peut conduire à un engrenage historique fatal pour la paix du monde. Urgence d’un cessez-le-feu pour protéger les civils palestiniens et les otages israéliens. Écoutons la sagesse de Dominique de Villepin !;palestiniens, israelien, israel, israeliens, gaza, palestinien, 7 octobre, civils, otage, otages, cessez-le-feu;;;;;
0267;Assemblee;Mme Eléonore Caroit (EPR);EPR;2025-01-14;P6_mandats_cpi;face aux tragedies qui secouent le proche orient la france doit demeurer un acteur cle en faveur de la paix et du respect du droit international comme l a rappele m le ministre notre pays est fortement engage dans la region avec pour ambition de retablir une stabilite perenne et de proteger les populations civiles au liban la france a pris des mesures concretes face aux frappes meurtrieres et a la crise politique et economique que connait le pays elle a ete a l initiative de conferences internationales mobilise une aide humanitaire et economique et reaffirme son soutien aux forces de maintien de la paix de la finul le role de la france a egalement ete essentiel au sein du mecanisme de supervision du cessez le feu a beyrouth ces initiatives sont cruciales pour assurer la continuite de l eta...;israel, tsahal, palestinien, droit international, aide humanitaire;;;;;
0268;Assemblee;Mme Caroline Yadan;EPR;2025-12-03;P7_cessez_feu;yonathan arfi president du crif yvan attal acteur et realisateur michel boujenah comedien ces noms sont les premiers d une liste de 20 genocidaires a boycotter en toutes circonstances nous ne sommes pas a berlin en 1933 mais a lyon en 2025 il y a quelques jours un professeur de l universite lyon 2 s est livre toute honte bue a un ciblage nauseabond que l on pensait relegue aux abysses de l histoire cet inquisiteur general aux petits pieds n en est pas a son coup d essai en 2024 il diffusait deja une caricature antisemite montrant un juif en train de voler le porte monnaie d une femme tenant a la main le drapeau palestinien il aura fallu une indignation collective pour que l universite annonce ouvrir enfin une procedure disciplinaire et suspende ce professeur il s agit d une universite dont...;palestinien, crif, antisemite;;;;;
0269;Twitter;gabrielamard;LFI;2023-10-12;P1_choc;"🔴 Je condamne l'attaque du Hamas contre Israël.

Je veux dire mon chagrin pour toutes les victimes.

Les attaques contre la @FranceInsoumise sont basées sur des allégations mensongères.

La France se doit d’être un acteur d’une paix durable et le cessez-le-feu doit s'imposer.";israel, hamas, cessez-le-feu;;;;;
0270;Twitter;laernoes;ECO;2024-05-29;P4_rafah;"Après @Gregorydoucet, @Johanna_Rolland rend hommage aux victimes de l’ivresse guerrière de Netanyahou à #Gaza. 
🙏 aux Maires pour ce geste de solidarité au peuple 🇵🇸
Il est primordial que des positions fortes s’expriment face à l'inaction gouvernementale. #AllEyesOnRafah #Nantes";gaza, netanyahou, rafah;;;;;
0271;Twitter;jrcazeneuve;EPR;2025-10-07;P7_cessez_feu;🎗️ Deux ans après l’attaque terroriste du 7 octobre, les victimes, les otages et les drames qui en ont découlé demeurent dans nos pensées.;7 octobre, otage, otages;;;;;
0272;Twitter;boccaletti83;inconnu;2025-09-10;P7_cessez_feu;"Avec mon collègue @phlottiaux, je participais ce matin à une réunion en préfecture sur les mouvements des gens du voyage dans le Var.

Nous devons être aux côtés des maires et des propriétaires victimes d'occupations illégales en  les informant au mieux des moyens de prévention et des possibilités de recours.

Il est inacceptable de laisser des terrains municipaux ou privés se faire dégrader en toute impunité.

À chaque installation illégale, le concours de la force publique doit être systématiq...";illegal, occupation, illegale;;;;;
0273;Twitter;christophebex;inconnu;2024-05-15;P4_rafah;En effet, Il existe clairement un risque que les armes et les équipements militaires que la France exporte vers Israël soient utilisés pour commettre de graves crimes contre des populations civiles dans la bande de Gaza occupée.;israel, gaza, bande de gaza;;;;;
0274;Twitter;ianboucard;LR;2024-05-22;P4_rafah;"La France doit renouer avec sa parole historique au Proche-Orient avec un objectif: deux États libres et indépendants dans des frontières sûres et sécurisées.
Les impératifs immédiats: la libération des otages et le cessez-le-feu. Le sang ne doit plus couler. #Gaza";gaza, otage, deux etats, otages, cessez-le-feu;;;;;
0275;Twitter;sylvainmaillard;EPR;2023-09-22;P0_pre_7oct;"Les Arméniens sont victimes d’une  situation terrible au #HautKarabakh de la part de l’armée azerbaïdjanaise. 

Des habitants chassés et humiliés, tenaillés par la faim et la peur.

J’ai rencontré l’Ambassadrice d’Arménie @tolmajian pour un point de situation.

Face à ce drame, je salue la position résolue de la #France au Conseil de sécurité de l’#ONU. 

Alyev doit rouvrir sans condition le corridor de Latchine et, au minimum, laisser l’aide humanitaire passer !";onu, aide humanitaire, conseil de securite;;;;;
0276;Twitter;abomangoli;LFI-NFP;2023-11-17;P2_offensive;"Tant que des civils seront pris pour cible, nous seront dans la rue pour défendre la paix. Face à l’urgence ce humanitaire absolue, #CessezLeFeu et libération des otages !
Pour défendre ce préalable à la construction d’une paix juste et durable, rdv place de la République à 14h30";civils, otage, otages;;;;;
0277;Twitter;arnaultraphael;LFI-NFP;2023-10-10;P1_choc;"Pendant ce temps là en Europe les néo-nazis se baladent oklm… (ce samedi 7 octobre à Sofia, en Bulgarie).

Pas une réaction, ni des médias, ni de la classe politique. Ça en dit long sur la volonté des divers gouvernements occidentaux de la lutte contre l’antisémitisme.";7 octobre, antisemitisme;;;;;
0278;Twitter;fcbdeputeducher;EPR;2023-10-26;P1_choc;"La Une de la honte l’@humanite_fr. 
Soutenir #Israel et les Israéliens n’est pas soutenir Netanyahou !
Votre Une crée un amalgame indigne et dessine une cible dans le dos des personnes représentées. 
Plein soutien à @YaelBRAUNPIVET @MathieuMlefevre et Manuel Valls !";israelien, israel, israeliens, netanyahou;;;;;
