ID;SOURCE;AUTEUR;GROUPE;DATE;PERIODE;TEXTE;MOTS_CLES;STANCE;INTENSITE;CIBLE;CADRAGE;NOTES
0022;Twitter;ersiliasoudais;LFI-NFP;2024-08-21;P4_rafah;"🇳🇨 Le gouvernement français n'a pas respecté les droits fondamentaux du peuple kanak, par la répression exercée contre lui et la négation de son droit à l'autodétermination, selon les rapporteurs spéciaux de l'ONU.

Il est maintenant temps pour la France de décoloniser la Kanaky.";onu, autodetermination;;;;;
0023;Assemblee;M. Frédéric Petit;MODEM;2024-01-16;P2_offensive;au cours de ce mandat je me suis rendu a hebron a bethleem a jerusalem a tel aviv en algerie au kurdistan et au liban dans le cadre de ma mission au sein de la commission des affaires etrangeres;tel aviv, hebron, jerusalem;;;;;
0024;Twitter;portes_thomas;LFI-NFP;2025-03-29;P7_cessez_feu;14 secouristes assassinés par Israël, véritable état voyou hors de contrôle.;israel;;;;;
0025;Twitter;guiraudind;LFI-NFP;2023-11-12;P2_offensive;"🇵🇸 Les attaques et les calomnies médiatiques et politiques contre moi ont des conséquences. Sur ma vie.

Des franco-israéliens membres d’une armée criminelle réalisant un nettoyage ethnique inscrivent mon nom sur un missile et menacent un parlementaire français. Ils seront déçus d’apprendre que quel que soit le degrés de danger, ma voix pour la Palestine ne s’éteindra pas, ne se taira pas, ne se réduira pas. J’appelle les politiques et les médias à prendre conscience des conséquences réelles de ...";israelien, israel, israeliens, palestine;;;;;
0026;Assemblee;Mme Fatiha Keloua Hachi;SOC;2024-03-28;P3_post_cij;fatima bedar avait quinze ans son visage celui d une jeune fille sans histoire aux joues rosees et aux deux longues tresses brunes represente sur une fresque a aubervilliers en seine saint denis m a longtemps hantee elle est morte noyee dans la seine parce qu elle etait algerienne reste trop longtemps oublie il doit desormais etre connu de tous comme fatima plusieurs centaines d algeriennes et d algeriens perirent assassines durant cette nuit sombre d octobre 1961 et puis rien il s en est ensuivi un silence assourdissant et complice une amnesie d etat un effacement administratif une simple inscription ici on noie les algeriens peinte a la hate sur les quais de la seine quelques jours apres le massacre qu on s empressera d ailleurs d effacer premier signe d un oubli delibere et d un contre ...;7 octobre, massacre;;;;;
0027;Assemblee;M. Julien Odoul;RN;2023-05-04;P0_pre_7oct;cette proposition de resolution ne vise pas a denoncer l action du gouvernement de l etat d israel mais a remettre en cause l existence meme de cet etat applaudissements sur les bancs du groupe rn;israel;;;;;
0028;Twitter;isasantiago_94;SOC;2023-10-08;P1_choc;"J’adresse mes plus sincères condoléances aux familles dans un chagrin incommensurable 🙏🏼😭 
#Israel_under_attack et participerais au rassemblement organisé demain en france en solidarité avec la population israélienne. @socialistesAN @AssembleeNat";israelien, israel, israelienne;;;;;
0029;Twitter;boccaletti83;inconnu;2025-09-22;P7_cessez_feu;"Reconnaître un État palestinien sans garanties, c’est offrir une victoire politique au Hamas après le massacre du 7 octobre.

La France doit soutenir la paix et la sécurité dans la région, pas encourager un terrorisme qui frappe ici comme là-bas.

#ONU";palestinien, hamas, etat palestinien, 7 octobre, onu, massacre;;;;;
0030;Twitter;simonnetdeputee;ECO-NFP;2024-05-29;P4_rafah;"Je ne pourrai pas être là ce soir pour voir le film « Gaza depuis le 7 octobre » projeté à l’AN par notre collègue @CaronAymericoff Je ne me sens pas capable de voir les images de toutes les atrocités des massacres des Gazaouis comme je n’ai pas voulu voir celles des massacres du 7 octobre commises par le Hamas. Mais j’estime très important que ce film soit diffusé à l’AN. 
Bravo et merci à @CaronAymericoff pour ce travail, pour ce combat. 
Il est possible et urgent de stopper le génocide en cou...";palestine, gaza, hamas, 7 octobre, otage, genocide, otages, massacre, cessez-le-feu;;;;;
0031;Twitter;sebastienjumel;GDR;2023-10-24;P1_choc;Nous attendons du gouvernement et du Président de la République un appel clair, net à un cessez-le-feu immédiat et sans conditions à #Gaza pour les civils, pour les otages, pour nos ressortissants coincés à Gaza. #DirectAN;gaza, civils, otage, otages, cessez-le-feu;;;;;
0032;Assemblee;M. Romain Baubry;RN;2025-11-27;P7_cessez_feu;vous verrez que d autres amendements tendront a preciser que cette mesure concerne l outre mer dans la republique francaise n oublions pas que vous etes vous aussi des deputes de la republique francaise quand on parle des territoires d outre mer et je pense que c est malheureux pour vous on ne parle pas de gaza qui n en fait pas partie rires et applaudissements sur les bancs du groupe rn;gaza;;;;;
0033;Assemblee;M. Jean-Noël Barrot;MODEM;2025-06-03;P7_cessez_feu;nous appelons donc le premier ministre israelien a revenir exactement a ses propos de 2009 la se trouve la seule voie qui menera son peuple a la paix et a la securite applaudissements sur quelques bancs des groupes epr dr et dem;israelien, israel;;;;;
0034;Twitter;mbompard;LFI-NFP;2023-11-26;P2_offensive;La tribune des 18 diplomates français publiée hier est très claire : il n'y aura pas de règlement durable au conflit israélo-palestinien sans une solution politique négociée, conforme au droit international.;israel, palestinien, droit international;;;;;
0035;Twitter;portes_thomas;LFI-NFP;2024-05-28;P4_rafah;"Des milliers ce soir à République pour réaffirmer notre solidarité au peuple Palestinien et dire non au génocide commis par Israël et son armée de criminels. 
Vive le peuple palestinien !";israel, palestinien, genocide;;;;;
0036;Assemblee;M. Gabriel Attal;REN;2024-05-07;P4_rafah;vous l avez dit hier soir les forces armees israeliennes sont entrees dans rafah ville du sud de la bande de gaza ou se trouveraient plus de 1 million de personnes;israelien, israel, gaza, israeliennes, israelienne, bande de gaza, rafah;;;;;
0037;Assemblee;M. Jean-Louis Thiériot;LR;2024-10-02;P5_escalade;et les attaques du hezbollah contre le territoire israelien qui ont entraine le liban dans une guerre dont les libanais ne veulent pas et dont ils sont les premieres victimes la france exprime avec la meme fermete son opposition aux operations terrestres israeliennes au liban;israelien, israel, israeliennes, israelienne;;;;;
