author,bloc,group,stance_mean,stance_std,stance_min,stance_max,n_textes,n_months,first_month,last_month,stance_range,is_mover
François Ruffin,Gauche moderee,ECO-NFP,1.5,0.6628679652796169,-1,2,34,11,2023-10-23 05:59:00,2025-09-25 07:17:00,3,True
Frédéric Maillot,Gauche radicale,GDR,1.0,,1,1,1,1,2024-01-15 12:28:00,2024-01-15 12:28:00,0,False
Frédéric Valletoux,Centre / Majorite,HOR,-0.75,1.2583057392117916,-2,1,4,4,2023-10-26 09:10:00,2025-10-07 15:51:00,3,True
Gabriel Amard,Gauche radicale,LFI,1.5,0.7632619519794298,-1,2,110,21,2023-10-12 12:35:00,2025-11-29 16:46:00,3,True
Gabriel Attal,Centre / Majorite,EPR,-0.7777777777777778,0.5483188805533161,-1,1,18,8,2024-02-07 12:59:00,2025-12-14 11:58:00,2,True
Gabrielle Cathala,Gauche radicale,LFI-NFP,1.7603305785123966,0.6194728052738303,-2,2,121,19,2024-05-28 17:57:00,2026-01-04 12:54:00,4,True
Gisèle Lelouis,Droite,RN,-1.1111111111111112,0.3333333333333333,-2,-1,9,7,2023-10-11 20:48:00,2025-02-26 21:52:00,1,False
Grégoire de Fournas,Droite,RN,-1.5,0.7071067811865476,-2,-1,2,2,2024-08-01 12:19:00,2025-10-16 16:47:00,1,False
Guillaume Bigot,Droite,RN,-1.53125,0.567073699482846,-2,0,32,11,2023-10-07 17:54:00,2025-11-08 15:45:00,2,True
Guillaume Kasbarian,Centre / Majorite,EPR,-1.0,,-1,-1,1,1,2023-11-22 17:06:00,2023-11-22 17:06:00,0,False
Gérald Darmanin,Centre / Majorite,REN,-0.9,0.5676462121975466,-2,0,10,7,2023-10-30 08:00:00,2025-12-02 11:55:00,2,True
Hadrien Clouet,Gauche radicale,LFI-NFP,1.2761194029850746,1.172310815138147,-2,2,134,24,2023-10-21 22:57:00,2025-12-20 15:36:00,4,True
Hanane Mansouri,Droite,UDR,-2.0,,-2,-2,1,1,2023-10-09 21:34:00,2023-10-09 21:34:00,0,False
Hendrik Davi,Gauche moderee,ECO-NFP,1.121212121212121,0.7128523747302159,-1,2,66,12,2023-10-10 11:32:00,2024-11-11 12:20:00,3,True
Hervé de Lépinau,Droite,RN,-1.7105263157894737,0.5150646633160448,-2,0,38,14,2023-10-07 12:22:00,2025-11-13 07:29:00,2,True
Hélène Laporte,Droite,RN,-1.3846153846153846,0.6504436355879909,-2,0,13,9,2023-10-07 09:17:00,2025-12-04 10:06:00,2,True
Ian Boucard,Droite,LR,0.2,0.8366600265340756,-1,1,5,4,2023-10-07 13:54:00,2025-09-22 19:46:00,2,True
Isabelle Santiago,Gauche moderee,SOC,-0.5,0.9258200997725514,-1,1,8,6,2023-10-07 11:16:00,2025-12-14 16:22:00,2,True
Jean-Charles Larsonneur,Droite,NI,-0.15384615384615385,0.9870962335856491,-1,1,13,5,2023-11-19 16:39:00,2024-10-27 21:26:00,2,True
Jean-Claude Raux,Gauche moderee,ECO-NFP,1.3333333333333333,0.7337993857053428,-1,2,27,14,2023-10-07 16:24:00,2025-11-16 14:03:00,3,True
Jean-François Coulomme,Gauche radicale,LFI-NFP,1.4913793103448276,1.1126637407993327,-2,2,232,27,2023-10-18 17:00:00,2026-01-05 11:56:00,4,True
Jean-Louis Thiériot,Droite,LR,-1.3333333333333333,0.5163977794943223,-2,-1,6,4,2023-10-26 12:08:00,2025-01-27 13:41:00,1,False
Jean-Paul Mattei,Centre / Majorite,MODEM,-1.0,0.0,-1,-1,2,1,2023-11-22 13:39:00,2023-11-28 09:08:00,0,False
Jean-Philippe Tanguy,Droite,RN,-1.5,0.5773502691896257,-2,-1,4,2,2023-11-02 12:46:00,2025-12-24 20:00:00,1,False
Jean-René Cazeneuve,Centre / Majorite,EPR,-1.1538461538461537,0.6887372317211945,-2,0,13,9,2023-10-09 06:58:00,2025-12-27 10:36:00,2,True
Julie Delpech,Centre / Majorite,REN,-0.75,0.5,-1,0,4,2,2023-11-10 09:57:00,2024-02-16 10:37:00,1,False
Julie Laernoes,Gauche moderee,ECO,1.25,0.45226701686664544,1,2,12,6,2024-01-08 17:30:00,2024-09-10 09:48:00,1,False
Julien Odoul,Droite,RN,-1.7054794520547945,0.4722332594163694,-2,0,146,25,2023-10-20 17:38:00,2026-01-03 22:11:00,2,True
Jérôme Buisson,Droite,RN,-1.4577464788732395,0.5408587791273664,-2,0,142,25,2023-10-07 08:09:00,2026-01-02 08:26:00,2,True
Jérôme Guedj,Gauche moderee,PS-NFP,0.022727272727272728,1.1099682870734047,-2,2,44,18,2023-10-07 09:02:00,2025-12-14 12:30:00,4,True
Jérôme Legavre,Gauche radicale,LFI-NFP,1.6953405017921146,0.8672787646333326,-2,2,279,27,2023-10-20 21:05:00,2026-01-05 11:11:00,4,True
Karine Lebon,Gauche radicale,GDR,0.6666666666666666,0.5773502691896258,0,1,3,3,2023-11-12 04:39:00,2024-05-08 09:47:00,1,False
Kévin Mauvieux,Droite,RN,-1.5555555555555556,0.5270462766947299,-2,-1,9,8,2023-11-23 09:29:00,2025-09-10 13:30:00,1,False
Laetitia Saint-Paul,Centre / Majorite,REN,-1.0,,-1,-1,1,1,2024-06-11 22:23:00,2024-06-11 22:23:00,0,False
Laure Miller,Centre / Majorite,EPR,-0.8333333333333334,0.408248290463863,-1,0,6,3,2023-10-13 19:24:00,2025-02-27 19:28:00,1,False
Laurence Maillart-Méhaignerie,Centre / Majorite,REN,-1.0,,-1,-1,1,1,2024-02-07 17:27:00,2024-02-07 17:27:00,0,False
Laurent Alexandre,Gauche radicale,LFI-NFP,1.6,0.5477225575051661,1,2,5,4,2024-04-18 16:39:00,2025-06-11 11:50:00,1,False
Laurent Croizier,Centre / Majorite,MODEM,-0.8666666666666667,1.0600988273786194,-2,1,15,6,2023-10-08 20:04:00,2025-10-07 10:14:00,3,True
Laurent Jacobelli,Droite,RN,-1.375,0.4902903378454601,-2,-1,40,12,2023-10-23 14:28:00,2025-12-15 07:55:00,1,False
Lise Magnier,Centre / Majorite,HOR,-2.0,,-2,-2,1,1,2024-02-07 17:05:00,2024-02-07 17:05:00,0,False
Louis Boyard,Gauche radicale,LFI-NFP,1.8432835820895523,0.4726262827933633,-1,2,134,22,2023-10-07 11:43:00,2026-01-03 18:47:00,3,True
Loïc Kervran,Centre / Majorite,HOR,-0.4,1.3416407864998738,-1,2,5,4,2023-11-22 13:24:00,2025-10-13 11:56:00,3,True
Ludovic Mendes,Centre / Majorite,EPR,0.0,1.0,-1,1,3,2,2023-10-17 09:00:00,2024-05-30 15:33:00,2,True
M. Abdelkader Lahmar,Gauche radicale,LFI-NFP,1.0,,1,1,1,1,2025-04-29 00:00:00,2025-04-29 00:00:00,0,False
M. Adrien Quatennens,Gauche radicale,LFI,-1.0,1.4142135623730951,-2,0,2,1,2023-10-12 00:00:00,2023-10-12 00:00:00,2,True
M. Alexandre Portier,Droite,LR,-1.5,0.7559289460184544,-2,0,8,2,2025-05-06 00:00:00,2025-07-02 00:00:00,2,True
M. Alexandre Portier (DR),Droite,LR,-2.0,,-2,-2,1,1,2025-05-07 00:00:00,2025-05-07 00:00:00,0,False
M. Alexandre Sabatou,Droite,RN,0.5,0.7071067811865476,0,1,2,2,2023-10-17 00:00:00,2024-04-29 00:00:00,1,False
M. André Chassaigne,Gauche radicale,GDR,1.5454545454545454,0.6875516509523286,0,2,11,4,2023-10-10 00:00:00,2024-10-01 00:00:00,2,True
M. Andy Kerbrat,Gauche radicale,LFI-NFP,2.0,,2,2,1,1,2025-12-18 00:00:00,2025-12-18 00:00:00,0,False
M. Antoine Léaument,Gauche radicale,LFI,0.3333333333333333,1.2909944487358056,-2,2,15,4,2023-10-12 00:00:00,2024-05-13 00:00:00,4,True
M. Antoine Léaument,Gauche radicale,LFI-NFP,0.25,1.5,-2,1,4,4,2024-10-08 00:00:00,2025-10-30 00:00:00,3,True
M. Antoine Vermorel-Marques,Droite,LR,-1.0,,-1,-1,1,1,2024-01-16 00:00:00,2024-01-16 00:00:00,0,False
M. Antoine Villedieu,Droite,RN,-2.0,,-2,-2,1,1,2024-12-03 00:00:00,2024-12-03 00:00:00,0,False
M. Arnaud Le Gall,Gauche radicale,LFI,1.0,0.816496580927726,0,2,4,3,2023-11-28 00:00:00,2024-05-31 00:00:00,2,True
M. Arnaud Le Gall,Gauche radicale,LFI-NFP,0.6666666666666666,1.4142135623730951,-2,2,9,5,2024-10-08 00:00:00,2025-11-13 00:00:00,4,True
M. Arthur Delaporte,Gauche moderee,PS-NFP,0.0,,0,0,1,1,2025-02-11 00:00:00,2025-02-11 00:00:00,0,False
M. Aurélien Saintoul,Gauche radicale,LFI,0.8,1.3038404810405297,-1,2,5,4,2023-10-12 00:00:00,2024-06-05 00:00:00,3,True
M. Aurélien Saintoul,Gauche radicale,LFI-NFP,1.0,1.4142135623730951,-1,2,4,3,2025-01-22 00:00:00,2025-06-25 00:00:00,3,True
M. Aurélien Saintoul (LFI-NFP),Gauche radicale,LFI-NFP,2.0,,2,2,1,1,2025-01-15 00:00:00,2025-01-15 00:00:00,0,False
