author,bloc,PC1,PC2
M. Olivier Faure,Gauche moderee,0.09603425620496697,0.0015663171102199616
M. Olivier Fayssat,Droite,0.14922474050561274,0.11587517446658023
M. Patrick Hetzel,Droite,-0.04094291214003475,-0.04926368810470168
M. Paul Vannier,Gauche radicale,-0.44089446092825624,-0.10112858984943494
M. Peio Dufau (SOC),Gauche moderee,-0.10883520547967493,0.04607989342671364
M. Philippe Ballard,Droite,-0.14209597928753126,-0.11667994532643301
M. Philippe Brun,Gauche moderee,-0.06844559756234977,0.04110703409288043
M. Philippe Juvin,Droite,-0.23920468196544797,0.2067389919186258
M. Philippe Schreck,Droite,-0.43797127841446437,0.10366856236301547
M. Philippe Vigier,Centre / Majorite,-0.06300588743008476,-0.009799422444329828
M. Pierre Cazeneuve,Centre / Majorite,-0.1785758089450409,0.14469401578856
M. Pierre Dharréville,Gauche radicale,0.22535305554232432,0.014387131439006707
M. Pierre Henriet,Centre / Majorite,0.002847814163146555,0.11374857149257009
M. Pierre Meurin,Droite,-0.15302554535044693,0.20981968919103397
M. Pierre Pribetich,Gauche moderee,0.0169744253207732,-0.006692913844420865
M. Pierre-Henri Dumont,Droite,-0.0693347733584998,0.11295361776946473
M. Pierre-Henri Dumont (LR),Droite,0.035495973007307946,-0.0387542969583676
M. Pierre-Yves Cadalen,Gauche radicale,0.24177927716362935,0.14864141985208043
M. Pieyre-Alexandre Anglade,Centre / Majorite,0.2191154304817464,0.04202905279736931
M. Pouria Amirshahi,Gauche moderee,-0.12712423954558805,0.07296113617828359
M. Raphaël Arnault,Gauche radicale,0.04227099572805418,0.13494898596767643
M. Raphaël Arnault (LFI-NFP),Gauche radicale,-0.16382856655276087,0.08218225950809005
M. René Lioret,Droite,-0.11606891458355043,0.14240404994329403
M. René Pilato,Gauche radicale,-0.4711114804689671,0.2202353613570429
M. Richard Ramos,Centre / Majorite,0.12831795148598432,-0.10810909413884524
M. Roger Chudeau,Droite,0.11574180658406043,0.1546235917613989
M. Romain Baubry,Droite,-0.36402301171479234,0.2877341793460675
M. Romain Eskenazi,Gauche moderee,-0.47188663566975325,0.058499977178094874
M. Steevy Gustave,Gauche moderee,-0.3218838077993833,0.0821212687156951
M. Stéphane Peu,Gauche radicale,0.09970886872817514,0.012699804149560949
M. Stéphane Séjourné,Centre / Majorite,0.21097790577179246,0.015412914986098519
M. Stéphane Viry,Droite,-0.2802175056831129,0.19553004282736397
M. Sylvain Berrios,Centre / Majorite,-0.3001508095382352,0.15282632887614075
M. Sylvain Maillard,Centre / Majorite,0.15710253547655242,0.013620664781100484
M. Sébastien Chenu,Droite,0.04261626934851838,0.19535927997488675
M. Sébastien Delogu,Gauche radicale,0.14257043071699801,0.231996949574074
M. Sébastien Jumel,Gauche radicale,-0.2491860105248602,-0.08503909419066034
M. Sébastien Lecornu,Droite,0.20943386241109738,0.1846585531748261
M. Thani Mohamed Soilihi,Centre / Majorite,0.2069544917037867,-0.1284912746063278
M. Thibaut François,Droite,-0.44276326496451124,0.0723788400643384
M. Thierry Perez,Droite,-0.4171060485930048,-0.023398564093364296
M. Thomas Ménagé,Droite,-0.3216113307262189,-0.00215485876294389
M. Thomas Portes,Gauche radicale,0.2141039625874761,0.0894054953259496
M. Thomas Portes (LFI-NFP),Gauche radicale,-0.03846381498274322,0.04157962476355072
